,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Cory Alexander,PG,22.0,SAS,9.0,0.0,70.0,5.1,12.3,0.41700000000000004,0.5,2.6,0.2,4.6,9.8,0.474,2.6,3.6,0.7140000000000001,2.1,2.6,4.6,4.6,1.0,0.0,3.1,4.1,13.4,1996
1,John Amaechi,PF,25.0,CLE,1.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996
2,Greg Anderson,PF,31.0,SAS,6.0,0.0,34.0,0.0,5.3,0.0,0.0,0.0,,0.0,5.3,0.0,1.1,2.1,0.5,2.1,7.4,9.5,0.0,2.1,1.1,4.2,5.3,1.1,1996
3,Nick Anderson,SG,28.0,ORL,11.0,11.0,418.0,4.7,10.9,0.433,1.6,5.4,0.28600000000000003,3.2,5.5,0.578,2.4,3.9,0.622,1.4,3.4,4.7,1.8,1.8,0.4,1.8,1.9,13.4,1996
4,Willie Anderson,SG,29.0,NYK,4.0,0.0,64.0,3.9,12.4,0.318,0.6,3.4,0.16699999999999998,3.4,9.0,0.375,3.4,3.9,0.857,1.1,3.9,5.1,0.6,2.3,0.0,3.4,5.6,11.8,1996
5,Vincent Askew,SG,29.0,SEA,19.0,0.0,345.0,2.5,7.3,0.34299999999999997,0.6,2.4,0.261,1.9,4.9,0.38299999999999995,1.8,2.9,0.607,0.5,3.8,4.3,2.7,1.4,0.8,2.9,5.2,7.4,1996
6,Keith Askins,SF,28.0,MIA,3.0,0.0,48.0,3.0,8.2,0.364,1.5,4.5,0.33299999999999996,1.5,3.7,0.4,2.3,2.3,1.0,2.3,3.7,6.0,1.5,0.7,0.0,3.0,6.8,9.7,1996
7,Stacey Augmon,SF,27.0,ATL,10.0,10.0,314.0,4.0,8.3,0.486,0.0,0.1,0.0,4.0,8.1,0.493,3.8,4.6,0.825,1.0,3.1,4.1,3.1,1.3,0.7,1.9,3.0,11.8,1996
8,Charles Barkley,PF,32.0,PHO,4.0,4.0,164.0,6.8,15.4,0.44299999999999995,0.7,2.6,0.25,6.1,12.7,0.483,8.1,10.3,0.787,4.0,7.9,11.9,3.3,0.9,0.9,1.3,3.3,22.4,1996
9,Mario Bennett,SF,22.0,PHO,2.0,0.0,8.0,9.0,18.0,0.5,0.0,0.0,,9.0,18.0,0.5,0.0,0.0,,9.0,4.5,13.5,0.0,0.0,0.0,9.0,0.0,18.0,1996
10,David Benoit,SF,27.0,UTA,14.0,5.0,259.0,4.6,9.7,0.47100000000000003,1.9,3.9,0.5,2.6,5.8,0.452,1.0,1.3,0.778,0.8,4.3,5.1,1.0,0.1,0.4,1.9,2.4,12.1,1996
11,Travis Best,PG,23.0,IND,5.0,0.0,84.0,4.7,9.4,0.5,0.4,2.6,0.16699999999999998,4.3,6.9,0.625,2.6,3.0,0.857,1.3,3.4,4.7,3.9,2.6,0.0,4.3,4.3,12.4,1996
12,Mookie Blaylock,PG,28.0,ATL,10.0,10.0,426.0,5.2,12.3,0.42100000000000004,2.8,7.1,0.39299999999999996,2.4,5.2,0.45899999999999996,1.4,2.0,0.667,1.1,2.5,3.6,5.4,1.9,0.7,2.5,1.3,14.5,1996
13,Anthony Bonner,PF,27.0,ORL,4.0,0.0,16.0,2.3,6.8,0.33299999999999996,0.0,0.0,,2.3,6.8,0.33299999999999996,2.3,4.5,0.5,4.5,0.0,4.5,2.3,0.0,0.0,0.0,6.8,6.8,1996
14,Anthony Bowie,SG,32.0,ORL,12.0,1.0,152.0,3.1,6.4,0.48100000000000004,0.0,0.0,,3.1,6.4,0.48100000000000004,0.9,0.9,1.0,0.7,3.3,4.0,3.3,0.7,0.5,1.2,3.8,7.1,1996
15,Donnie Boyce,SG,22.0,ATL,1.0,0.0,2.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996
16,Terrell Brandon,PG,25.0,CLE,3.0,3.0,125.0,6.0,13.5,0.447,0.9,2.6,0.33299999999999996,5.2,10.9,0.474,3.7,4.3,0.867,0.3,2.3,2.6,6.9,1.2,0.3,3.2,2.9,16.7,1996
17,Frank Brickowski,C,36.0,SEA,21.0,3.0,206.0,2.8,6.6,0.42100000000000004,1.0,3.8,0.273,1.7,2.8,0.625,0.5,0.7,0.75,0.3,4.9,5.2,1.9,1.2,0.9,3.5,9.6,7.2,1996
18,Chucky Brown,PF,27.0,HOU,8.0,8.0,168.0,5.4,9.6,0.556,0.0,0.0,,5.4,9.6,0.556,3.2,3.9,0.833,1.3,3.9,5.1,1.1,0.6,0.0,0.9,3.6,13.9,1996
19,Randy Brown,PG,27.0,CHI,16.0,0.0,112.0,5.1,9.0,0.5710000000000001,1.0,1.9,0.5,4.2,7.1,0.591,2.9,3.9,0.75,1.0,2.3,3.2,2.3,1.6,0.3,2.3,5.8,14.1,1996
21,Mark Bryant,PF,30.0,HOU,8.0,0.0,145.0,5.2,8.7,0.6,0.0,0.0,,5.2,8.7,0.6,3.0,3.7,0.8,1.7,5.0,6.7,1.0,0.2,0.5,0.7,5.2,13.4,1996
22,Jud Buechler,SF,27.0,CHI,17.0,0.0,127.0,5.1,10.8,0.474,2.3,6.0,0.381,2.8,4.8,0.588,0.6,1.1,0.5,0.6,2.3,2.8,1.7,2.0,0.0,2.3,3.7,13.0,1996
23,Matt Bullard,PF,28.0,ATL,4.0,0.0,51.0,2.8,8.5,0.33299999999999996,2.8,5.6,0.5,0.0,2.8,0.0,1.4,2.8,0.5,0.0,4.2,4.2,0.0,0.0,1.4,1.4,4.2,9.9,1996
24,Michael Cage,C,34.0,CLE,3.0,3.0,101.0,2.9,5.0,0.5710000000000001,0.0,0.0,,2.9,5.0,0.5710000000000001,1.1,1.8,0.6,4.6,5.3,10.0,0.7,0.7,1.8,0.0,1.8,6.8,1996
25,Adrian Caldwell,PF,29.0,IND,1.0,0.0,3.0,12.0,12.0,1.0,0.0,0.0,,12.0,12.0,1.0,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,24.0,1996
26,Elden Campbell,PF,27.0,LAL,4.0,4.0,129.0,5.6,10.9,0.513,0.0,0.3,0.0,5.6,10.6,0.526,2.2,4.5,0.5,0.8,8.1,8.9,2.2,0.3,2.5,2.8,4.7,13.4,1996
27,Antoine Carr,SF,34.0,UTA,18.0,0.0,339.0,4.9,10.3,0.474,0.0,0.0,,4.9,10.3,0.474,1.8,2.7,0.68,1.2,2.4,3.6,2.2,0.4,1.5,1.7,7.0,11.6,1996
28,Chris Carr,SG,21.0,PHO,3.0,0.0,36.0,9.0,14.0,0.643,2.0,3.0,0.667,7.0,11.0,0.636,4.0,5.0,0.8,3.0,4.0,7.0,4.0,2.0,1.0,4.0,6.0,24.0,1996
29,Sam Cassell,PG,26.0,HOU,8.0,0.0,206.0,4.5,14.2,0.321,1.4,5.1,0.276,3.1,9.1,0.34600000000000003,4.0,5.1,0.7929999999999999,0.2,2.8,3.0,5.9,1.0,0.2,3.1,3.5,14.5,1996
30,Duane Causwell,C,27.0,SAC,2.0,0.0,25.0,1.4,4.3,0.33299999999999996,0.0,1.4,0.0,1.4,2.9,0.5,4.3,5.8,0.75,1.4,5.8,7.2,1.4,0.0,0.0,2.9,4.3,7.2,1996
31,Cedric Ceballos,SF,26.0,LAL,4.0,4.0,142.0,7.6,15.7,0.484,1.3,4.1,0.313,6.3,11.7,0.5429999999999999,2.8,3.0,0.917,2.8,5.6,8.4,1.3,1.0,0.3,2.0,2.3,19.3,1996
32,Rex Chapman,SG,28.0,MIA,3.0,3.0,88.0,4.9,11.5,0.429,1.2,5.3,0.231,3.7,6.1,0.6,0.0,0.0,,0.0,2.5,2.5,2.0,1.2,0.0,0.4,2.5,11.0,1996
33,Pete Chilcutt,PF,27.0,HOU,1.0,0.0,10.0,3.6,14.4,0.25,0.0,3.6,0.0,3.6,10.8,0.33299999999999996,0.0,7.2,0.0,7.2,3.6,10.8,0.0,0.0,0.0,3.6,0.0,7.2,1996
34,Tyrone Corbin,SF,33.0,MIA,2.0,0.0,34.0,1.1,5.3,0.2,0.0,0.0,,1.1,5.3,0.2,3.2,4.2,0.75,4.2,3.2,7.4,1.1,2.1,0.0,1.1,3.2,5.3,1996
35,John Crotty,PG,26.0,CLE,2.0,0.0,9.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,8.0,8.0,1.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,8.0,1996
36,Michael Curry,SG,27.0,DET,3.0,0.0,43.0,2.5,5.9,0.429,0.0,0.8,0.0,2.5,5.0,0.5,0.0,0.0,,0.8,1.7,2.5,0.8,0.8,0.8,0.0,4.2,5.0,1996
37,Sasha Danilović,SG,25.0,MIA,3.0,0.0,60.0,5.4,10.8,0.5,2.4,6.0,0.4,3.0,4.8,0.625,1.8,1.8,1.0,0.6,0.0,0.6,2.4,0.6,0.0,1.8,4.8,15.0,1996
38,Antonio Davis,PF,27.0,IND,5.0,0.0,127.0,3.7,7.1,0.52,0.0,0.0,,3.7,7.1,0.52,3.7,4.3,0.867,3.4,5.4,8.8,0.9,0.9,1.7,2.8,3.4,11.1,1996
39,Dale Davis,PF,26.0,IND,5.0,5.0,184.0,3.1,6.1,0.516,0.0,0.0,,3.1,6.1,0.516,0.8,2.2,0.364,3.9,7.0,11.0,0.8,0.6,1.2,2.0,3.1,7.0,1996
40,Hubert Davis,SG,25.0,NYK,8.0,0.0,145.0,4.2,7.7,0.5479999999999999,2.5,4.7,0.526,1.7,3.0,0.583,2.2,2.7,0.818,1.0,2.0,3.0,1.0,0.0,0.0,1.7,3.0,13.2,1996
42,Vinny Del Negro,SG,29.0,SAS,10.0,10.0,379.0,5.4,11.8,0.46,1.5,2.6,0.593,3.9,9.2,0.423,1.2,1.8,0.684,0.4,2.1,2.5,2.8,1.2,0.3,0.6,1.8,13.6,1996
43,Vlade Divac,C,27.0,LAL,4.0,4.0,115.0,4.7,11.0,0.429,0.3,1.6,0.2,4.4,9.4,0.467,1.6,2.5,0.625,3.4,5.9,9.4,2.5,0.0,1.6,2.5,3.1,11.3,1996
44,Clyde Drexler,SG,33.0,HOU,8.0,8.0,292.0,6.0,14.5,0.415,1.1,4.2,0.265,4.9,10.4,0.47600000000000003,3.2,4.2,0.765,1.8,5.8,7.6,4.9,2.6,0.5,2.5,2.7,16.4,1996
45,Chris Dudley,C,30.0,POR,5.0,0.0,92.0,2.0,5.1,0.385,0.0,0.0,,2.0,5.1,0.385,1.6,2.3,0.667,3.5,7.0,10.6,0.4,0.8,0.8,1.6,7.0,5.5,1996
46,Joe Dumars,PG,32.0,DET,3.0,3.0,123.0,4.7,10.2,0.457,1.5,4.1,0.35700000000000004,3.2,6.1,0.524,1.2,1.2,1.0,1.5,2.3,3.8,3.2,0.0,0.0,2.0,1.5,12.0,1996
47,Tyus Edney,PG,22.0,SAC,4.0,4.0,121.0,5.4,12.5,0.429,0.6,2.4,0.25,4.8,10.1,0.47100000000000003,3.0,3.6,0.833,0.6,3.0,3.6,3.3,2.4,0.0,2.7,3.3,14.3,1996
48,James Edwards,C,40.0,CHI,6.0,0.0,28.0,5.1,11.6,0.444,0.0,0.0,,5.1,11.6,0.444,3.9,5.1,0.75,0.0,5.1,5.1,0.0,0.0,0.0,1.3,12.9,14.1,1996
49,Craig Ehlo,SG,34.0,ATL,9.0,0.0,171.0,2.5,8.6,0.293,1.5,4.8,0.304,1.1,3.8,0.278,1.1,1.5,0.7140000000000001,0.2,3.6,3.8,1.9,1.9,0.4,1.9,2.9,7.6,1996
50,Howard Eisley,PG,23.0,UTA,18.0,0.0,202.0,2.9,7.5,0.381,0.5,1.6,0.33299999999999996,2.3,5.9,0.39399999999999996,3.2,3.9,0.818,0.7,3.2,3.9,7.8,0.5,0.4,2.0,5.2,9.4,1996
51,Mario Elie,SF,32.0,HOU,8.0,0.0,233.0,4.5,10.2,0.439,1.4,3.7,0.375,3.1,6.5,0.47600000000000003,1.7,1.9,0.917,0.9,2.5,3.4,2.2,1.1,0.5,0.8,2.6,12.1,1996
52,Sean Elliott,SF,27.0,SAS,10.0,10.0,389.0,4.3,10.8,0.402,0.9,3.1,0.294,3.4,7.7,0.446,4.7,5.9,0.797,1.0,2.6,3.6,2.3,1.0,0.4,2.8,2.2,14.3,1996
53,Patrick Ewing,C,33.0,NYK,8.0,8.0,328.0,7.1,15.0,0.474,0.1,0.2,0.5,7.0,14.8,0.474,4.5,6.9,0.6509999999999999,1.2,8.1,9.3,1.6,0.1,2.7,3.3,2.4,18.9,1996
54,Duane Ferrell,SF,30.0,IND,5.0,0.0,69.0,3.7,9.9,0.368,0.0,0.0,,3.7,9.9,0.368,2.1,4.2,0.5,3.1,1.6,4.7,1.6,2.1,0.0,2.1,5.2,9.4,1996
55,Danny Ferry,PF,29.0,CLE,3.0,3.0,117.0,4.3,12.6,0.341,0.3,4.9,0.063,4.0,7.7,0.52,0.0,0.0,,0.3,4.3,4.6,2.8,0.9,0.6,1.2,4.0,8.9,1996
56,Greg Foster,C,27.0,UTA,12.0,0.0,76.0,5.2,10.4,0.5,0.0,0.0,,5.2,10.4,0.5,2.8,4.7,0.6,2.8,2.8,5.7,0.9,0.5,0.9,2.4,7.6,13.3,1996
57,Kevin Gamble,SF,30.0,SAC,2.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996
58,Chris Gatling,PF,28.0,MIA,3.0,0.0,68.0,3.2,11.6,0.273,0.0,0.0,,3.2,11.6,0.273,3.2,6.4,0.5,5.3,7.4,12.7,0.5,1.1,0.0,4.2,4.2,9.5,1996
59,Ron Grandison,PF,31.0,NYK,2.0,0.0,3.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1996
60,Brian Grant,PF,23.0,SAC,4.0,4.0,124.0,4.6,12.2,0.381,0.0,0.0,,4.6,12.2,0.381,2.0,4.1,0.5,2.0,3.8,5.8,1.2,0.6,2.0,3.8,4.1,11.3,1996
61,Gary Grant,PG,30.0,NYK,1.0,0.0,8.0,9.0,22.5,0.4,9.0,13.5,0.667,0.0,9.0,0.0,0.0,0.0,,9.0,4.5,13.5,0.0,4.5,0.0,4.5,0.0,27.0,1996
63,Harvey Grant,PF,30.0,POR,5.0,5.0,164.0,2.9,8.3,0.342,0.2,1.5,0.14300000000000002,2.6,6.8,0.387,0.0,0.9,0.0,1.1,3.3,4.4,0.9,0.0,0.4,0.7,3.5,5.9,1996
64,Horace Grant,PF,30.0,ORL,9.0,9.0,334.0,6.6,10.1,0.649,0.0,0.0,,6.6,10.1,0.649,1.4,1.6,0.867,3.3,6.8,10.1,1.4,0.8,0.6,0.6,2.5,14.6,1996
65,A.C. Green,SF,32.0,PHO,4.0,4.0,87.0,2.5,7.0,0.353,0.0,1.2,0.0,2.5,5.8,0.429,2.9,3.3,0.875,2.5,5.0,7.4,0.8,0.4,0.0,0.8,2.9,7.9,1996
66,Anfernee Hardaway,PG,24.0,ORL,12.0,12.0,473.0,7.7,16.5,0.465,1.5,4.2,0.364,6.2,12.3,0.5,4.4,5.9,0.7440000000000001,1.5,2.7,4.3,5.5,1.5,0.3,2.0,2.1,21.3,1996
67,Tim Hardaway,PG,29.0,MIA,3.0,3.0,110.0,6.5,14.1,0.465,2.6,7.2,0.364,3.9,6.9,0.5710000000000001,1.6,2.3,0.7140000000000001,0.3,1.3,1.6,5.6,1.0,0.0,4.9,3.3,17.3,1996
68,Derek Harper,PG,34.0,NYK,8.0,8.0,293.0,3.6,10.1,0.354,1.4,4.3,0.314,2.2,5.8,0.38299999999999995,1.4,1.8,0.733,0.0,2.1,2.1,4.7,1.2,0.1,1.7,2.9,9.8,1996
69,Ron Harper,PG,32.0,CHI,18.0,16.0,494.0,4.2,9.8,0.425,1.1,3.4,0.319,3.1,6.3,0.483,2.1,3.1,0.69,1.9,3.0,4.9,3.3,1.8,0.5,1.3,2.8,11.5,1996
70,Hersey Hawkins,SG,29.0,SEA,21.0,21.0,713.0,3.8,8.5,0.452,1.1,3.2,0.344,2.7,5.3,0.519,4.3,4.8,0.895,0.9,2.3,3.2,2.3,1.4,0.2,1.7,2.8,13.1,1996
71,Alan Henderson,PF,23.0,ATL,10.0,0.0,145.0,5.7,9.9,0.575,0.0,0.0,,5.7,9.9,0.575,1.7,2.5,0.7,4.2,2.5,6.7,1.7,0.2,1.0,2.2,5.0,13.2,1996
72,Carl Herrera,PF,29.0,SAS,7.0,0.0,28.0,0.0,3.9,0.0,0.0,0.0,,0.0,3.9,0.0,2.6,2.6,1.0,2.6,2.6,5.1,1.3,2.6,1.3,3.9,9.0,2.6,1996
73,Grant Hill,SF,23.0,DET,3.0,3.0,115.0,6.9,12.2,0.564,0.3,0.6,0.5,6.6,11.6,0.568,3.8,4.4,0.857,1.3,5.6,6.9,3.4,0.9,0.0,2.5,4.1,17.8,1996
74,Tyrone Hill,PF,27.0,CLE,3.0,0.0,53.0,6.1,8.2,0.75,0.0,0.0,,6.1,8.2,0.75,4.8,6.1,0.778,4.8,5.4,10.2,0.0,0.0,0.0,2.0,7.5,17.0,1996
75,Jeff Hornacek,SG,32.0,UTA,18.0,18.0,644.0,5.8,11.6,0.502,1.9,3.2,0.586,3.9,8.3,0.47,4.1,4.6,0.89,1.2,2.4,3.6,3.4,1.1,0.2,1.5,2.3,17.6,1996
76,Robert Horry,SF,25.0,HOU,8.0,8.0,308.0,4.3,10.6,0.40700000000000003,2.5,6.2,0.396,1.9,4.4,0.42100000000000004,1.2,2.7,0.435,1.8,4.9,6.7,2.8,2.5,1.5,1.8,3.4,12.3,1996
77,Allan Houston,SG,24.0,DET,3.0,3.0,136.0,6.6,15.4,0.431,1.9,5.6,0.33299999999999996,4.8,9.8,0.486,4.8,5.3,0.9,0.3,1.9,2.1,1.6,0.0,0.3,2.9,2.9,19.9,1996
78,Lindsey Hunter,PG,25.0,DET,2.0,0.0,36.0,2.0,8.0,0.25,1.0,4.0,0.25,1.0,4.0,0.25,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,6.0,1996
79,Bobby Hurley,PG,24.0,SAC,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996
80,Mark Jackson,PG,30.0,IND,5.0,5.0,186.0,3.5,9.9,0.353,0.8,3.5,0.222,2.7,6.4,0.424,2.5,3.3,0.765,0.6,4.3,4.8,5.8,1.2,0.0,2.5,1.7,10.3,1996
81,Avery Johnson,PG,30.0,SAS,10.0,10.0,407.0,4.6,10.7,0.43,0.0,0.2,0.0,4.6,10.5,0.43700000000000006,1.7,2.4,0.7040000000000001,0.5,2.7,3.2,8.3,1.8,0.1,2.1,1.9,10.9,1996
82,Eddie Johnson,SF,36.0,IND,1.0,0.0,9.0,0.0,20.0,0.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1996
84,Ervin Johnson,C,28.0,SEA,18.0,18.0,253.0,3.3,8.8,0.371,0.0,0.0,,3.3,8.8,0.371,1.3,1.6,0.818,4.0,6.0,10.0,1.0,0.9,2.1,2.0,6.4,7.8,1996
85,Kevin Johnson,PG,29.0,PHO,4.0,4.0,151.0,6.4,13.6,0.474,0.2,1.0,0.25,6.2,12.6,0.491,3.3,4.1,0.8240000000000001,0.5,3.6,4.1,10.3,0.5,0.5,2.6,1.9,16.5,1996
86,Magic Johnson,PF,36.0,LAL,4.0,0.0,135.0,4.0,10.4,0.385,0.8,2.4,0.33299999999999996,3.2,8.0,0.4,7.5,8.8,0.848,2.1,6.9,9.1,6.9,0.0,0.0,3.2,0.8,16.3,1996
87,Charles Jones,PF,38.0,HOU,3.0,0.0,8.0,0.0,4.5,0.0,0.0,0.0,,0.0,4.5,0.0,0.0,0.0,,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1996
88,Eddie Jones,SG,24.0,LAL,4.0,4.0,155.0,6.3,11.4,0.551,2.3,4.4,0.526,3.9,7.0,0.5670000000000001,1.2,1.9,0.625,1.6,3.3,4.9,1.4,1.9,0.2,0.9,3.7,16.0,1996
89,Michael Jordan,SG,32.0,CHI,18.0,18.0,733.0,9.2,20.0,0.45899999999999996,1.2,3.0,0.40299999999999997,8.0,16.9,0.47,7.5,9.2,0.818,1.5,2.8,4.4,3.6,1.6,0.3,2.1,2.4,27.1,1996
90,Reggie Jordan,PG,28.0,ATL,10.0,0.0,59.0,4.3,7.9,0.5379999999999999,0.0,0.0,,4.3,7.9,0.5379999999999999,1.8,4.3,0.429,0.6,3.1,3.7,5.5,3.1,0.6,1.8,4.3,10.4,1996
91,Adam Keefe,PF,25.0,UTA,17.0,0.0,178.0,4.7,6.9,0.6759999999999999,0.2,0.4,0.5,4.4,6.5,0.688,2.2,3.4,0.647,1.8,4.9,6.7,0.4,0.6,0.2,1.6,4.7,11.7,1996
92,Shawn Kemp,PF,26.0,SEA,20.0,20.0,720.0,7.3,12.9,0.57,0.0,0.1,0.0,7.3,12.7,0.5760000000000001,6.2,7.8,0.795,3.3,7.1,10.4,1.5,1.2,2.0,4.0,4.2,20.9,1996
93,Steve Kerr,PG,30.0,CHI,18.0,0.0,357.0,3.9,8.8,0.44799999999999995,1.7,5.3,0.321,2.2,3.4,0.647,2.7,3.1,0.871,0.3,1.5,1.8,3.1,1.4,0.0,1.3,2.1,12.3,1996
94,Stacey King,PF,29.0,MIA,1.0,0.0,12.0,0.0,9.0,0.0,0.0,0.0,,0.0,9.0,0.0,3.0,6.0,0.5,0.0,9.0,9.0,3.0,0.0,0.0,0.0,3.0,3.0,1996
95,Joe Kleine,C,34.0,PHO,2.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,,4.5,0.0,4.5,0.0,4.5,0.0,4.5,4.5,0.0,1996
96,Jon Koncak,C,32.0,ORL,12.0,3.0,140.0,1.0,1.8,0.5710000000000001,0.0,0.0,,1.0,1.8,0.5710000000000001,0.8,1.8,0.429,2.1,3.9,5.9,0.8,1.3,1.0,0.8,10.0,2.8,1996
97,Toni Kukoč,SF,27.0,CHI,15.0,5.0,439.0,4.8,12.4,0.391,1.1,5.6,0.191,3.8,6.8,0.5539999999999999,2.5,3.0,0.838,1.6,3.6,5.2,4.8,1.1,0.3,2.1,2.7,13.3,1996
98,Christian Laettner,C,26.0,ATL,10.0,10.0,334.0,6.4,13.1,0.484,0.1,0.3,0.33299999999999996,6.3,12.8,0.48700000000000004,4.1,5.8,0.7040000000000001,2.9,4.5,7.4,1.6,1.3,1.1,2.3,4.4,16.9,1996
99,Antonio Lang,SF,23.0,CLE,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996
