,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
0,Hassan Adams,SG,22.0,NJN,6.0,9.0,0.5,0.5,0.0,0.0,0.0,13.0,6.6,0.0,0.0,0.0,0.0,10.7,,0.0,0.0,0.0,0.063,,-10.3,0.1,-10.2,0.0,2007
1,Maurice Ager,SG,22.0,DAL,3.0,24.0,20.9,0.644,0.33299999999999996,0.667,4.6,9.5,7.0,0.0,0.0,0.0,0.0,21.1,,0.1,0.0,0.1,0.179,,5.0,0.4,5.4,0.0,2007
2,Malik Allen,PF,28.0,CHI,5.0,34.0,-5.7,0.16699999999999998,0.0,0.0,13.9,10.2,12.0,4.8,1.6,2.4,20.0,20.4,,-0.2,0.0,-0.2,-0.22899999999999998,,-12.1,-1.4,-13.5,-0.1,2007
3,Rafer Alston,PG,30.0,HOU,7.0,309.0,10.7,0.47700000000000004,0.6759999999999999,0.17600000000000002,2.3,15.4,9.0,21.0,2.3,0.7,17.6,15.2,,0.0,0.4,0.4,0.063,,-2.6,2.6,0.0,0.2,2007
4,Carmelo Anthony,SF,22.0,DEN,5.0,210.0,22.1,0.5820000000000001,0.184,0.39799999999999996,10.0,13.5,11.8,6.0,1.3,0.0,14.2,29.5,,0.5,0.1,0.6,0.14400000000000002,,5.8,-0.6,5.2,0.4,2007
5,Rafael Araújo,C,26.0,UTA,5.0,28.0,12.6,0.414,0.0,1.5,12.5,33.7,23.1,5.5,1.9,0.0,0.0,21.3,,0.0,0.0,0.1,0.114,,-2.8,-0.3,-3.1,0.0,2007
6,Trevor Ariza,SG,21.0,ORL,4.0,47.0,2.6,0.31,0.0,0.25,12.8,10.0,11.4,17.4,1.2,0.0,18.4,22.3,,-0.2,0.0,-0.2,-0.17300000000000001,,-6.7,-2.2,-8.9,-0.1,2007
7,Carlos Arroyo,PG,27.0,ORL,3.0,40.0,12.6,0.40299999999999997,0.14300000000000002,0.14300000000000002,6.0,8.8,7.5,25.3,1.4,0.0,6.3,19.1,,0.0,0.0,0.0,0.016,,-0.6,-0.7,-1.3,0.0,2007
8,Kelenna Azubuike,SG,23.0,GSW,6.0,15.0,15.2,0.515,0.33299999999999996,0.667,7.2,23.1,14.9,0.0,3.4,0.0,0.0,11.4,,0.0,0.0,0.0,0.157,,0.8,1.7,2.5,0.0,2007
9,Marcus Banks,PG,25.0,PHO,2.0,7.0,7.4,0.34700000000000003,0.5,1.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,18.6,,0.0,0.0,0.0,-0.008,,-4.4,-4.2,-8.5,0.0,2007
10,Leandro Barbosa,SG,24.0,PHO,11.0,349.0,13.0,0.49700000000000005,0.373,0.247,2.5,9.8,6.3,10.9,1.8,0.4,11.2,25.5,,0.0,0.3,0.3,0.038,,-0.7,-0.4,-1.1,0.1,2007
11,J.J. Barea,PG,22.0,DAL,2.0,4.0,-10.3,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,,0.0,0.0,0.0,-0.35100000000000003,,-8.8,-5.7,-14.5,0.0,2007
12,Andrea Bargnani,PF,21.0,TOR,6.0,181.0,14.1,0.607,0.37,0.413,2.1,13.9,8.1,6.0,1.5,1.5,11.4,16.4,,0.3,0.1,0.4,0.10800000000000001,,0.5,0.0,0.5,0.1,2007
13,Matt Barnes,PF,26.0,GSW,11.0,330.0,15.4,0.565,0.45,0.18,8.5,12.9,10.6,12.8,2.4,0.9,15.6,17.1,,0.6,0.2,0.8,0.114,,1.2,0.7,1.9,0.3,2007
14,Brent Barry,SG,35.0,SAS,19.0,225.0,8.5,0.485,0.8170000000000001,0.033,2.1,10.8,6.6,14.6,1.0,0.7,15.3,15.1,,0.0,0.2,0.2,0.047,,-1.5,-0.4,-1.9,0.0,2007
15,Tony Battie,PF,30.0,ORL,4.0,87.0,3.9,0.38,0.0,0.222,4.2,17.6,11.0,1.8,0.0,0.0,0.0,11.0,,0.0,0.0,-0.1,-0.028999999999999998,,-4.7,-1.4,-6.2,-0.1,2007
16,Shane Battier,SF,28.0,HOU,7.0,272.0,12.8,0.66,0.843,0.157,1.3,6.3,3.8,10.3,2.4,1.8,12.8,11.2,,0.4,0.3,0.8,0.135,,1.3,3.6,5.0,0.5,2007
17,Raja Bell,SG,30.0,PHO,11.0,438.0,8.4,0.601,0.517,0.161,1.7,6.8,4.4,6.3,1.2,0.3,13.9,11.1,,0.4,0.2,0.6,0.069,,-1.0,0.8,-0.2,0.2,2007
18,Andris Biedriņš,C,20.0,GSW,11.0,267.0,16.1,0.6970000000000001,0.0,0.8109999999999999,7.7,21.6,14.4,2.9,1.5,5.0,15.2,9.8,,0.6,0.3,0.8,0.14800000000000002,,0.0,1.5,1.6,0.2,2007
19,Chauncey Billups,PG,30.0,DET,16.0,649.0,18.7,0.612,0.466,0.585,1.3,8.5,4.9,25.8,1.6,0.2,15.9,21.4,,1.8,0.7,2.5,0.183,,4.0,0.0,4.0,1.0,2007
21,Steve Blake,PG,26.0,DEN,5.0,180.0,8.9,0.581,0.516,0.0,0.6,6.9,3.8,20.5,0.9,0.0,24.4,10.5,,0.1,0.0,0.1,0.036000000000000004,,-0.7,0.0,-0.7,0.1,2007
22,Andray Blatche,PF,20.0,WAS,2.0,25.0,17.6,0.6990000000000001,0.0,0.16699999999999998,12.3,19.8,15.7,0.0,0.0,0.0,13.4,14.1,,0.1,0.0,0.1,0.13,,2.3,-1.8,0.5,0.0,2007
23,Matt Bonner,PF,26.0,SAS,9.0,25.0,2.5,0.444,0.5710000000000001,0.28600000000000003,9.7,4.6,7.1,0.0,4.3,0.0,27.6,20.6,,-0.1,0.0,0.0,-0.055,,-8.7,0.2,-8.5,0.0,2007
24,Josh Boone,PF,22.0,NJN,12.0,118.0,10.2,0.521,0.0,1.0,7.2,11.9,9.6,4.4,0.5,2.1,8.0,15.3,,0.1,0.2,0.3,0.114,,-3.3,-0.3,-3.6,0.0,2007
25,Calvin Booth,C,30.0,WAS,1.0,18.0,13.5,0.667,0.0,0.0,11.4,13.8,12.5,9.2,3.0,0.0,25.0,10.5,,0.0,0.0,0.0,0.09300000000000001,,-1.1,1.9,0.8,0.0,2007
26,Carlos Boozer,PF,25.0,UTA,17.0,654.0,24.2,0.5760000000000001,0.0,0.341,9.6,27.6,18.6,15.1,1.4,0.7,12.8,27.3,,1.7,0.8,2.5,0.18100000000000002,,4.7,0.4,5.1,1.2,2007
27,Chris Bosh,C,22.0,TOR,6.0,222.0,18.0,0.48700000000000004,0.055,0.418,3.9,25.4,14.9,13.1,1.2,4.6,10.0,26.0,,0.1,0.3,0.3,0.07400000000000001,,0.1,0.3,0.4,0.1,2007
28,Bruce Bowen,SF,35.0,SAS,20.0,689.0,8.5,0.534,0.622,0.05,2.1,11.6,6.9,5.7,2.2,0.4,10.3,9.3,,0.4,0.8,1.2,0.086,,-1.7,2.9,1.2,0.6,2007
29,Ronnie Brewer,SG,21.0,UTA,8.0,41.0,17.1,0.604,0.0,1.3,5.7,11.5,8.6,8.0,1.3,0.0,11.3,19.4,,0.1,0.0,0.1,0.138,,1.1,-0.3,0.8,0.0,2007
30,Dee Brown,PG,22.0,UTA,8.0,52.0,4.5,0.34600000000000003,0.353,0.235,2.2,4.5,3.4,27.1,0.0,0.0,17.6,19.6,,-0.1,0.0,-0.1,-0.11199999999999999,,-3.1,-3.6,-6.7,-0.1,2007
31,Kwame Brown,C,24.0,LAL,5.0,133.0,11.2,0.5379999999999999,0.0,0.25,10.4,13.9,12.0,1.2,0.4,2.4,18.4,16.0,,0.1,0.0,0.0,0.005,,-2.4,-0.8,-3.2,0.0,2007
