,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Michael Adams,PG,27.0,DEN,3.0,3.0,35.0,4.3,11.3,0.382,2.0,6.7,0.3,2.3,4.7,0.5,0.47100000000000003,2.3,2.7,0.875,0.0,2.0,2.0,6.0,1.3,0.0,2.7,3.3,13.0,1990
1,Mark Aguirre,SF,30.0,DET,20.0,3.0,22.0,4.3,9.2,0.467,0.4,1.2,0.33299999999999996,3.9,8.0,0.488,0.489,2.0,2.6,0.75,1.6,3.0,4.6,1.4,0.5,0.2,1.5,2.6,11.0,1990
2,Steve Alford,PG,25.0,DAL,3.0,0.0,14.0,2.7,6.0,0.444,0.7,2.0,0.33299999999999996,2.0,4.0,0.5,0.5,1.7,1.7,1.0,0.3,0.7,1.0,2.7,0.3,0.0,1.0,1.3,7.7,1990
3,Greg Anderson,PF,25.0,MIL,4.0,0.0,25.3,3.3,4.8,0.684,0.0,0.0,,3.3,4.8,0.684,0.684,1.8,3.5,0.5,1.5,4.5,6.0,0.0,0.3,1.0,1.0,4.8,8.3,1990
4,Ron Anderson,SF,31.0,PHI,10.0,0.0,25.6,4.0,9.3,0.43,0.3,0.5,0.6,3.7,8.8,0.42,0.446,2.9,3.0,0.9670000000000001,0.6,3.1,3.7,1.4,0.4,0.0,1.5,2.2,11.2,1990
5,Willie Anderson,SG,23.0,SAS,10.0,10.0,37.5,8.7,16.8,0.518,0.2,0.5,0.4,8.5,16.3,0.521,0.524,2.9,3.6,0.8059999999999999,1.6,3.8,5.4,5.2,0.9,0.4,2.6,4.0,20.5,1990
6,B.J. Armstrong,PG,22.0,CHI,16.0,0.0,13.6,1.3,3.9,0.33899999999999997,0.0,0.3,0.0,1.3,3.6,0.36200000000000004,0.33899999999999997,1.4,1.5,0.917,0.2,1.1,1.3,1.8,0.6,0.0,0.8,1.4,4.0,1990
7,John Bagley,PG,29.0,BOS,5.0,0.0,14.0,1.6,3.0,0.5329999999999999,0.0,0.2,0.0,1.6,2.8,0.5710000000000001,0.5329999999999999,0.6,0.8,0.75,0.6,0.2,0.8,3.4,0.8,0.2,1.8,1.8,3.8,1990
8,Thurl Bailey,SF,28.0,UTA,5.0,5.0,38.0,8.6,17.6,0.489,0.0,0.0,,8.6,17.6,0.489,0.489,3.8,4.8,0.792,1.6,4.8,6.4,1.4,1.0,1.2,1.0,3.8,21.0,1990
9,Charles Barkley,SF,26.0,PHI,10.0,10.0,41.9,8.8,16.2,0.5429999999999999,0.6,1.8,0.33299999999999996,8.2,14.4,0.569,0.562,6.5,10.8,0.602,6.6,8.9,15.5,4.3,0.8,0.7,3.0,3.6,24.7,1990
10,Kenny Battle,SG,25.0,PHO,8.0,0.0,4.3,0.5,1.6,0.308,0.0,0.0,,0.5,1.6,0.308,0.308,0.1,0.1,1.0,0.1,0.5,0.6,0.0,0.0,0.0,0.3,0.6,1.1,1990
11,William Bedford,C,26.0,DET,5.0,0.0,3.8,0.2,1.2,0.16699999999999998,0.0,0.0,,0.2,1.2,0.16699999999999998,0.16699999999999998,0.4,0.4,1.0,0.0,0.4,0.4,0.0,0.0,0.2,0.0,0.8,0.8,1990
