,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Arron Afflalo,SG,24.0,DEN,82.0,75.0,2221.0,4.4,9.5,0.465,1.8,4.0,0.434,2.7,5.4,0.488,1.2,1.6,0.735,1.0,3.1,4.1,2.2,0.7,0.5,1.2,3.6,11.7,2010
1,Alexis Ajinça,C,21.0,CHA,6.0,0.0,30.0,6.0,12.0,0.5,0.0,0.0,,6.0,12.0,0.5,0.0,1.2,0.0,1.2,3.6,4.8,0.0,1.2,1.2,2.4,6.0,12.0,2010
2,LaMarcus Aldridge,PF,24.0,POR,78.0,78.0,2922.0,7.1,14.4,0.495,0.1,0.2,0.313,7.1,14.2,0.498,2.8,3.7,0.757,2.4,5.4,7.7,2.0,0.8,0.6,1.3,2.8,17.2,2010
3,Joe Alexander,SF,23.0,CHI,8.0,0.0,29.0,1.2,7.4,0.16699999999999998,0.0,1.2,0.0,1.2,6.2,0.2,2.5,3.7,0.667,2.5,3.7,6.2,2.5,1.2,1.2,0.0,11.2,5.0,2010
4,Malik Allen,PF,31.0,DEN,51.0,3.0,456.0,3.6,9.2,0.397,0.1,0.5,0.16699999999999998,3.6,8.7,0.409,0.9,1.0,0.9229999999999999,2.8,3.6,6.5,1.3,0.9,0.4,1.7,5.4,8.3,2010
5,Ray Allen,SG,34.0,BOS,80.0,80.0,2819.0,5.9,12.4,0.47700000000000004,1.9,5.1,0.363,4.1,7.3,0.556,2.9,3.2,0.9129999999999999,0.6,2.7,3.2,2.7,0.8,0.3,1.6,2.3,16.7,2010
6,Tony Allen,SG,28.0,BOS,54.0,8.0,889.0,5.2,10.2,0.51,0.0,0.2,0.0,5.2,10.0,0.52,2.9,4.8,0.605,2.1,3.8,5.9,2.9,2.4,0.8,2.7,4.4,13.4,2010
7,Rafer Alston,PG,33.0,TOT,52.0,38.0,1421.0,3.9,11.3,0.348,1.5,4.3,0.345,2.5,7.0,0.349,1.5,2.1,0.728,0.3,2.9,3.3,4.5,1.3,0.3,2.4,2.6,10.8,2010
10,Lou Amundson,PF,27.0,PHO,79.0,0.0,1168.0,4.7,8.5,0.551,0.0,0.0,0.0,4.7,8.5,0.5529999999999999,2.1,3.8,0.545,3.9,6.7,10.7,1.0,0.7,2.3,1.8,5.2,11.4,2010
11,Chris Andersen,PF,31.0,DEN,76.0,0.0,1695.0,3.0,5.3,0.5660000000000001,0.0,0.1,0.0,3.0,5.3,0.573,3.5,5.0,0.695,3.1,7.1,10.3,0.7,0.9,3.0,1.3,3.6,9.5,2010
12,David Andersen,C,29.0,HOU,63.0,0.0,891.0,5.9,13.7,0.43200000000000005,1.1,3.2,0.34600000000000003,4.8,10.6,0.45799999999999996,1.9,2.7,0.687,2.2,6.2,8.4,1.8,0.6,0.5,1.5,4.8,14.8,2010
13,Antonio Anderson,SF,24.0,OKC,1.0,0.0,15.0,2.4,7.2,0.33299999999999996,0.0,0.0,,2.4,7.2,0.33299999999999996,0.0,0.0,,2.4,0.0,2.4,0.0,0.0,0.0,2.4,2.4,4.8,2010
14,Ryan Anderson,PF,21.0,ORL,63.0,6.0,911.0,6.7,15.3,0.436,3.1,8.3,0.37,3.6,7.0,0.514,2.8,3.2,0.866,2.8,5.2,8.0,1.5,1.0,0.6,2.2,3.2,19.2,2010
15,Carmelo Anthony,SF,25.0,DEN,69.0,69.0,2634.0,9.4,20.5,0.45799999999999996,0.8,2.6,0.316,8.6,18.0,0.478,6.9,8.4,0.83,2.1,4.1,6.2,3.0,1.2,0.4,2.9,3.1,26.6,2010
16,Joel Anthony,C,27.0,MIA,80.0,16.0,1322.0,2.1,4.3,0.478,0.0,0.0,,2.1,4.3,0.478,1.8,2.5,0.7170000000000001,3.3,3.4,6.8,0.3,0.5,3.0,1.2,4.3,5.9,2010
17,Gilbert Arenas,PG,28.0,WAS,32.0,32.0,1169.0,7.8,19.0,0.41100000000000003,1.9,5.6,0.348,5.9,13.4,0.43700000000000006,4.7,6.4,0.7390000000000001,0.5,3.6,4.1,7.1,1.3,0.3,3.6,2.9,22.2,2010
18,Trevor Ariza,SF,24.0,HOU,72.0,71.0,2629.0,5.4,13.7,0.39399999999999996,1.9,5.6,0.33399999999999996,3.5,8.1,0.436,2.0,3.1,0.649,1.1,4.5,5.5,3.8,1.7,0.5,2.2,2.2,14.7,2010
19,Hilton Armstrong,PF-C,25.0,TOT,33.0,0.0,335.0,3.0,8.5,0.354,0.0,0.1,0.0,3.0,8.4,0.359,1.6,3.4,0.469,2.9,5.8,8.7,2.3,1.6,1.3,2.4,6.3,7.6,2010
23,Carlos Arroyo,PG,30.0,MIA,72.0,35.0,1585.0,4.0,8.5,0.475,0.2,0.6,0.28,3.9,7.9,0.489,1.7,2.0,0.8440000000000001,0.6,2.4,3.0,5.1,0.8,0.1,1.2,2.3,10.0,2010
24,Darrell Arthur,PF,21.0,MEM,32.0,1.0,457.0,5.0,11.5,0.43200000000000005,0.0,0.1,0.0,5.0,11.4,0.434,1.3,2.4,0.5670000000000001,2.9,5.8,8.7,1.2,1.1,1.1,1.7,4.7,11.3,2010
26,Chucky Atkins,PG,35.0,DET,40.0,11.0,644.0,3.2,8.8,0.363,1.2,4.1,0.301,2.0,4.7,0.41700000000000004,1.4,1.5,0.9259999999999999,0.3,1.3,1.6,5.1,1.0,0.0,1.8,3.0,9.0,2010
27,D.J. Augustin,PG,22.0,CHA,80.0,2.0,1472.0,4.1,10.6,0.386,1.7,4.4,0.39299999999999996,2.4,6.3,0.381,2.5,3.2,0.779,0.3,2.1,2.4,4.7,1.1,0.1,1.8,3.1,12.4,2010
28,Jeff Ayres,C,22.0,POR,39.0,4.0,405.0,3.8,5.8,0.662,0.0,0.0,,3.8,5.8,0.662,1.6,1.8,0.9,2.2,6.5,8.7,0.1,0.6,1.4,1.1,6.8,9.2,2010
29,Kelenna Azubuike,SF,26.0,GSW,9.0,7.0,231.0,7.5,13.7,0.545,1.6,4.2,0.37,5.9,9.5,0.623,3.0,4.4,0.679,1.9,4.5,6.4,1.6,0.8,1.4,1.1,2.5,19.5,2010
30,Renaldo Balkman,SF,25.0,DEN,13.0,1.0,91.0,2.4,7.1,0.33299999999999996,0.0,2.8,0.0,2.4,4.4,0.545,0.8,2.4,0.33299999999999996,1.6,7.5,9.1,2.8,3.2,0.8,2.4,6.3,5.5,2010
31,Marcus Banks,PG,28.0,TOR,22.0,0.0,244.0,5.8,10.8,0.534,1.0,3.5,0.292,4.7,7.2,0.653,3.5,4.3,0.828,0.4,3.0,3.4,3.8,1.8,0.3,3.0,4.4,16.1,2010
32,Leandro Barbosa,PG,27.0,PHO,44.0,5.0,786.0,7.1,16.7,0.425,2.0,6.2,0.324,5.1,10.5,0.485,2.9,3.3,0.877,0.5,2.7,3.2,2.9,1.1,0.5,2.1,3.3,19.1,2010
