,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
0,Alaa Abdelnaby,PF,25.0,BOS,13.0,159.0,9.2,0.485,0.0,0.455,8.5,24.2,16.3,2.7,0.6,1.2,20.5,22.6,,-0.2,0.1,-0.1,-0.032,,-5.3,-2.2,-7.4,-0.2,1994
1,Mahmoud Abdul-Rauf,PG,24.0,DEN,80.0,2617.0,16.7,0.521,0.10400000000000001,0.179,1.2,5.8,3.6,24.1,1.6,0.2,9.9,24.9,,4.4,2.4,6.8,0.125,,1.5,-0.7,0.8,1.9,1994
2,Michael Adams,PG,31.0,WSB,70.0,2337.0,14.2,0.52,0.27399999999999997,0.387,1.8,7.4,4.6,29.8,2.1,0.2,17.0,18.1,,2.9,0.2,3.1,0.063,,0.5,-1.5,-1.0,0.6,1994
3,Mark Aguirre,SF,34.0,LAC,39.0,859.0,13.1,0.544,0.267,0.207,3.5,10.8,7.2,18.5,1.2,0.6,15.6,21.6,,0.6,0.3,0.9,0.05,,-0.5,-1.4,-1.8,0.0,1994
4,Danny Ainge,SG,34.0,PHO,68.0,1555.0,11.8,0.524,0.45399999999999996,0.175,2.0,7.4,4.7,15.9,1.8,0.3,12.3,17.8,,1.9,1.0,2.8,0.087,,-0.8,-0.5,-1.3,0.3,1994
5,Gary Alexander,PF,24.0,TOT,11.0,55.0,8.6,0.529,0.0,0.643,14.7,16.8,15.8,5.4,2.9,0.0,30.8,21.0,,-0.1,0.1,0.0,-0.032,,-6.6,-1.5,-8.1,-0.1,1994
8,Victor Alexander,C,24.0,GSW,69.0,1318.0,14.0,0.539,0.026000000000000002,0.257,9.5,15.7,12.6,7.3,1.0,1.5,13.3,20.2,,1.1,1.1,2.3,0.083,,-1.1,-0.9,-2.1,0.0,1994
9,Eric Anderson,PF,23.0,NYK,11.0,39.0,15.2,0.45299999999999996,0.11800000000000001,0.8240000000000001,17.8,31.3,24.7,8.5,0.0,1.8,7.9,28.3,,0.0,0.1,0.1,0.126,,-3.4,-1.7,-5.1,0.0,1994
10,Greg Anderson,PF,29.0,DET,77.0,1624.0,14.6,0.561,0.008,0.41600000000000004,12.3,26.9,19.5,4.6,1.7,2.7,17.7,14.3,,1.4,2.0,3.4,0.10099999999999999,,-1.7,0.1,-1.6,0.2,1994
11,Kenny Anderson,PG,23.0,NJN,82.0,3135.0,18.2,0.491,0.096,0.306,2.9,8.0,5.4,40.6,2.5,0.3,14.5,24.6,,4.3,3.2,7.5,0.114,,2.5,-0.1,2.4,3.4,1994
12,Nick Anderson,SG,26.0,ORL,81.0,2811.0,16.9,0.5489999999999999,0.298,0.237,4.6,14.3,9.5,15.7,2.4,0.7,12.4,20.2,,4.6,3.0,7.6,0.129,,2.0,0.6,2.5,3.2,1994
13,Ron Anderson,SF,35.0,TOT,21.0,356.0,9.9,0.499,0.302,0.267,4.9,11.8,8.3,6.8,1.1,0.5,9.4,12.7,,0.3,0.2,0.5,0.061,,-1.4,-1.3,-2.7,-0.1,1994
16,Willie Anderson,SG,27.0,SAS,80.0,2488.0,14.2,0.523,0.081,0.204,3.2,7.5,5.5,21.6,1.5,1.2,14.4,19.2,,3.2,2.3,5.6,0.107,,0.2,0.1,0.3,1.4,1994
17,Greg Anthony,PG,26.0,NYK,80.0,1994.0,13.0,0.48700000000000004,0.28,0.294,2.5,8.1,5.4,27.3,3.0,0.5,16.5,17.0,,1.6,3.9,5.5,0.132,,-0.8,2.4,1.6,1.8,1994
18,B.J. Armstrong,PG,26.0,CHI,82.0,2770.0,14.5,0.547,0.134,0.225,1.2,6.0,3.6,18.0,1.5,0.2,10.6,19.8,,4.9,2.6,7.5,0.13,,0.3,-0.4,-0.1,1.3,1994
19,Vincent Askew,SG,27.0,SEA,80.0,1690.0,15.9,0.551,0.055,0.37200000000000005,4.2,8.7,6.5,16.8,2.2,0.8,9.6,18.5,,3.9,2.1,6.0,0.16899999999999998,,1.1,0.7,1.8,1.6,1994
20,Keith Askins,SF,26.0,MIA,37.0,319.0,8.2,0.46,0.239,0.114,11.7,17.5,14.6,5.9,1.8,0.2,18.5,15.3,,-0.1,0.4,0.3,0.044000000000000004,,-4.2,-0.4,-4.6,-0.2,1994
21,Stacey Augmon,SG,25.0,ATL,82.0,2605.0,17.9,0.5760000000000001,0.008,0.506,7.5,9.2,8.3,11.0,2.9,1.1,12.3,19.8,,5.7,4.0,9.7,0.179,,1.3,1.4,2.7,3.1,1994
