,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
0,Tariq Abdul-Wahad,SG,28.0,DAL,14.0,0.0,14.6,1.9,4.1,0.466,0.0,0.1,0.0,1.9,4.1,0.474,0.466,0.2,0.4,0.5,1.0,1.9,2.9,1.5,0.4,0.2,0.5,1.9,4.1,2003
1,Shareef Abdur-Rahim,PF,26.0,ATL,81.0,81.0,38.1,7.0,14.6,0.478,0.3,0.7,0.35,6.7,13.9,0.485,0.48700000000000004,5.6,6.7,0.841,2.2,6.2,8.4,3.0,1.1,0.5,2.6,3.0,19.9,2003
2,Courtney Alexander,PG,25.0,NOH,66.0,7.0,20.6,2.9,7.7,0.382,0.3,0.9,0.33299999999999996,2.6,6.8,0.38799999999999996,0.401,1.8,2.2,0.8079999999999999,0.6,1.2,1.8,1.2,0.5,0.1,1.0,1.9,7.9,2003
3,Malik Allen,PF,24.0,MIA,80.0,73.0,29.0,4.2,9.9,0.424,0.0,0.1,0.0,4.2,9.8,0.426,0.424,1.2,1.5,0.802,1.7,3.6,5.3,0.7,0.5,1.0,1.6,2.9,9.6,2003
4,Ray Allen,SG,27.0,TOT,76.0,75.0,37.9,7.9,17.9,0.439,2.6,7.0,0.377,5.2,10.9,0.478,0.512,4.2,4.5,0.9159999999999999,1.2,3.8,5.0,4.4,1.4,0.2,2.6,2.9,22.5,2003
7,Rafer Alston,PG,26.0,TOR,47.0,4.0,20.9,3.0,7.1,0.415,1.1,2.8,0.392,1.9,4.4,0.429,0.491,0.8,1.1,0.685,0.4,1.8,2.3,4.1,0.8,0.3,1.8,2.6,7.8,2003
8,John Amaechi,C,32.0,UTA,50.0,1.0,9.5,0.7,2.4,0.314,0.0,0.0,,0.7,2.4,0.314,0.314,0.5,1.0,0.48100000000000004,0.5,1.0,1.5,0.4,0.3,0.1,0.7,1.0,2.0,2003
9,Chris Andersen,C,24.0,DEN,59.0,3.0,15.4,1.9,4.8,0.4,0.0,0.0,0.0,1.9,4.8,0.401,0.4,1.3,2.4,0.55,1.8,2.8,4.6,0.5,0.5,1.0,1.0,1.5,5.2,2003
10,Derek Anderson,PG,28.0,POR,76.0,76.0,33.6,4.7,10.9,0.42700000000000005,1.5,4.4,0.35,3.1,6.6,0.47700000000000004,0.496,3.0,3.5,0.8590000000000001,0.7,2.8,3.5,4.3,1.2,0.2,1.7,1.9,13.9,2003
11,Kenny Anderson,PG,32.0,TOT,61.0,2.0,18.6,2.7,6.3,0.42700000000000005,0.0,0.1,0.14300000000000002,2.7,6.1,0.43200000000000005,0.428,0.7,0.9,0.789,0.5,1.7,2.2,3.2,1.0,0.1,1.2,1.7,6.1,2003
14,Shandon Anderson,SF,29.0,NYK,82.0,9.0,21.1,3.0,6.5,0.462,0.6,1.7,0.371,2.4,4.8,0.494,0.51,1.7,2.3,0.732,0.8,2.3,3.1,1.1,0.9,0.2,1.4,2.2,8.4,2003
15,Robert Archibald,PF,22.0,MEM,12.0,0.0,6.0,0.5,1.7,0.3,0.0,0.0,,0.5,1.7,0.3,0.3,0.6,1.5,0.389,0.5,0.9,1.4,0.3,0.0,0.3,0.6,0.8,1.6,2003
16,Gilbert Arenas,PG,21.0,GSW,82.0,82.0,35.0,6.2,14.4,0.431,1.3,3.8,0.348,4.9,10.6,0.461,0.478,4.5,5.7,0.7909999999999999,1.2,3.5,4.7,6.3,1.5,0.2,3.5,3.2,18.3,2003
17,Brandon Armstrong,SG,22.0,NJN,17.0,0.0,4.1,0.5,1.6,0.33299999999999996,0.1,0.4,0.16699999999999998,0.5,1.2,0.381,0.35200000000000004,0.3,0.4,0.833,0.0,0.2,0.2,0.1,0.2,0.1,0.3,0.5,1.4,2003
18,Darrell Armstrong,PG,34.0,ORL,82.0,23.0,28.7,3.2,7.8,0.409,1.0,2.8,0.336,2.3,5.0,0.45,0.47,2.0,2.3,0.878,1.1,2.5,3.6,3.9,1.6,0.2,2.0,2.0,9.4,2003
19,Carlos Arroyo,PG,23.0,UTA,44.0,0.0,6.5,1.1,2.5,0.45899999999999996,0.1,0.2,0.429,1.1,2.3,0.461,0.47200000000000003,0.4,0.5,0.818,0.3,0.3,0.6,1.2,0.3,0.0,0.7,0.6,2.8,2003
20,Chucky Atkins,PG,28.0,DET,65.0,7.0,21.5,2.6,7.2,0.361,1.3,3.7,0.355,1.3,3.4,0.368,0.45399999999999996,0.6,0.8,0.816,0.3,1.2,1.5,2.7,0.4,0.1,1.2,1.7,7.1,2003
21,Stacey Augmon,SG,34.0,NOH,70.0,3.0,12.3,1.1,2.7,0.41100000000000003,0.0,0.1,0.0,1.1,2.6,0.42700000000000005,0.41100000000000003,0.8,1.0,0.75,0.4,1.3,1.7,1.0,0.4,0.1,0.6,1.1,3.0,2003
22,Dalibor Bagarić,C,22.0,CHI,10.0,0.0,7.6,0.8,2.6,0.308,0.0,0.0,,0.8,2.6,0.308,0.308,0.3,0.4,0.75,0.7,1.3,2.0,0.4,0.3,0.3,0.5,1.1,1.9,2003
23,Vin Baker,C,31.0,BOS,52.0,9.0,18.1,1.9,4.0,0.478,0.0,0.1,0.0,1.9,3.9,0.488,0.478,1.4,2.1,0.6729999999999999,1.7,2.1,3.8,0.6,0.4,0.6,1.2,2.8,5.2,2003
25,Brent Barry,SG,31.0,SEA,75.0,68.0,33.1,3.5,7.7,0.45799999999999996,1.6,3.9,0.40299999999999997,1.9,3.8,0.514,0.56,1.7,2.1,0.795,0.6,3.4,4.0,5.1,1.5,0.2,1.9,2.7,10.3,2003
26,Jon Barry,SG,33.0,DET,80.0,0.0,18.4,2.4,5.3,0.45,1.1,2.7,0.40700000000000003,1.3,2.6,0.495,0.5529999999999999,1.1,1.3,0.86,0.4,1.8,2.3,2.6,0.8,0.2,1.0,1.3,6.9,2003
27,Maceo Baston,PF,27.0,TOR,16.0,0.0,6.6,0.9,1.6,0.6,0.0,0.0,,0.9,1.6,0.6,0.6,0.6,0.8,0.833,0.3,1.2,1.4,0.0,0.3,0.7,0.4,1.0,2.5,2003
28,Mengke Bateer,C,27.0,SAS,12.0,0.0,3.8,0.3,1.4,0.235,0.1,0.3,0.33299999999999996,0.3,1.2,0.214,0.265,0.0,0.2,0.0,0.2,0.7,0.8,0.3,0.0,0.0,0.5,1.2,0.8,2003
29,Mike Batiste,PF,25.0,MEM,75.0,2.0,16.6,2.6,6.2,0.42200000000000004,0.2,1.1,0.222,2.4,5.1,0.46399999999999997,0.441,0.9,1.2,0.784,1.1,2.3,3.4,0.7,0.6,0.2,0.9,1.6,6.4,2003
30,Tony Battie,C,26.0,BOS,67.0,62.0,25.1,3.0,5.5,0.539,0.0,0.1,0.2,3.0,5.4,0.544,0.541,1.3,1.8,0.746,2.2,4.3,6.5,0.7,0.5,1.2,0.7,2.9,7.3,2003
31,Shane Battier,SF,24.0,MEM,78.0,47.0,30.6,3.5,7.3,0.483,1.1,2.8,0.39799999999999996,2.4,4.5,0.535,0.5589999999999999,1.5,1.9,0.828,1.6,2.8,4.4,1.3,1.3,1.1,0.9,2.7,9.7,2003
32,Lonny Baxter,C,24.0,CHI,55.0,0.0,12.4,1.7,3.7,0.466,0.0,0.0,0.0,1.7,3.7,0.47100000000000003,0.466,1.3,1.9,0.68,1.2,1.8,3.0,0.3,0.2,0.4,0.8,2.5,4.8,2003
