,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Mahmoud Abdul-Rauf,PG,25,DEN,3,2,76,5.7,15.6,.364,0.9,5.7,.167,4.7,9.9,.476,6.6,6.6,1.000,0.9,1.4,2.4,2.4,0.9,0.0,3.8,3.8,18.9
1,Michael Adams,PG,32,CHH,1,0,11,6.5,16.4,.400,0.0,6.5,.000,6.5,9.8,.667,0.0,0.0,,0.0,3.3,3.3,6.5,0.0,0.0,0.0,0.0,13.1
2,Danny Ainge,SG,35,PHO,10,0,137,5.0,10.0,.500,3.2,6.8,.462,1.8,3.2,.583,2.6,2.9,.909,0.5,2.1,2.6,2.6,1.3,0.0,1.6,3.9,15.8
3,Greg Anderson,PF,30,ATL,3,0,39,0.9,4.6,.200,0.0,0.0,,0.9,4.6,.200,2.8,3.7,.750,0.9,11.1,12.0,1.8,1.8,1.8,0.0,8.3,4.6
4,Nick Anderson,SG,27,ORL,21,21,814,4.7,10.6,.448,1.8,4.7,.383,2.9,5.8,.500,1.9,2.8,.683,0.9,3.5,4.4,2.9,1.5,0.4,1.3,2.2,13.2
5,Willie Anderson,SG,28,SAS,11,0,97,3.3,7.4,.450,0.0,0.4,.000,3.3,7.1,.474,0.7,1.1,.667,1.9,2.6,4.5,3.7,1.9,0.0,3.0,4.5,7.4
6,Greg Anthony,PG,27,NYK,11,0,135,4.0,10.1,.395,1.9,6.1,.304,2.1,4.0,.533,2.7,2.9,.909,0.5,2.1,2.7,4.0,0.5,0.5,1.6,7.2,12.5
7,B.J. Armstrong,PG,27,CHI,10,10,288,4.5,9.9,.456,1.6,3.6,.448,2.9,6.2,.460,2.3,2.7,.818,0.5,1.7,2.3,3.4,0.7,0.0,0.7,2.6,12.9
8,Vincent Askew,SG,28,SEA,4,0,93,4.6,11.2,.414,1.5,1.9,.800,3.1,9.3,.333,0.8,1.2,.667,4.3,1.5,5.8,3.1,1.2,0.0,1.2,5.4,11.6
9,Stacey Augmon,SG,26,ATL,3,1,52,4.2,9.7,.429,0.0,0.0,,4.2,9.7,.429,6.2,8.3,.750,2.1,2.8,4.8,3.5,2.1,0.0,1.4,5.5,14.5
10,Anthony Avent,PF,25,ORL,7,0,40,2.7,6.3,.429,0.0,0.9,.000,2.7,5.4,.500,2.7,3.6,.750,3.6,3.6,7.2,0.0,0.0,0.9,1.8,9.9,8.1
11,Charles Barkley*,PF,31,PHO,10,10,390,8.4,16.8,.500,0.8,3.2,.257,7.6,13.6,.558,6.1,8.3,.733,3.6,8.8,12.4,3.0,1.2,1.0,2.3,2.6,23.7
12,John Battle,SG,32,CLE,2,0,7,10.3,15.4,.667,0.0,5.1,.000,10.3,10.3,1.000,0.0,0.0,,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,20.6
13,David Benoit,SF,26,UTA,5,5,167,4.5,9.7,.467,2.4,5.4,.440,2.2,4.3,.500,1.3,1.9,.667,1.5,4.5,6.0,0.9,0.4,0.9,2.2,2.2,12.7
14,Mookie Blaylock,PG,27,ATL,3,3,121,5.4,14.6,.367,3.3,8.3,.393,2.1,6.2,.333,2.1,3.3,.636,2.1,1.8,3.9,5.1,1.2,0.0,2.7,1.8,16.1
15,Corie Blount,PF,26,CHI,8,0,20,0.0,5.4,.000,0.0,1.8,.000,0.0,3.6,.000,0.0,0.0,,1.8,7.2,9.0,0.0,0.0,0.0,1.8,9.0,0.0
16,Muggsy Bogues,PG,30,CHH,4,4,145,3.5,11.2,.311,0.2,0.7,.333,3.2,10.4,.310,1.2,1.2,1.000,0.7,0.7,1.5,6.2,1.0,0.0,2.2,2.0,8.4
17,Anthony Bonner,PF,26,NYK,6,0,38,5.7,10.4,.545,0.0,0.9,.000,5.7,9.5,.600,2.8,5.7,.500,3.8,3.8,7.6,1.9,0.9,0.9,2.8,5.7,14.2
18,Anthony Bowie,SG,31,ORL,17,0,118,6.4,12.8,.500,1.5,2.1,.714,4.9,10.7,.457,2.4,2.7,.889,1.2,2.4,3.7,5.5,0.3,0.3,2.4,7.0,16.8
19,Sam Bowie,C,33,LAL,10,0,135,2.1,8.0,.267,0.0,0.0,,2.1,8.0,.267,1.3,1.3,1.000,3.5,5.3,8.8,0.8,0.3,2.4,1.6,6.7,5.6
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Chucky Brown,SF,26,HOU,21,1,326,3.8,8.4,.447,0.1,0.2,.500,3.6,8.2,.446,2.8,4.1,.676,2.2,5.0,7.2,0.8,1.0,0.2,1.3,5.1,10.4
22,Dee Brown,SG,26,BOS,4,4,172,5.4,13.0,.419,1.9,5.4,.346,3.6,7.5,.472,2.9,3.3,.875,1.3,2.9,4.2,4.0,1.0,0.2,1.5,2.7,15.7
23,Mark Bryant,PF,29,POR,2,0,6,6.0,12.0,.500,0.0,0.0,,6.0,12.0,.500,0.0,12.0,.000,6.0,6.0,12.0,0.0,0.0,0.0,0.0,6.0,12.0
24,Jud Buechler,SF,26,CHI,10,0,104,3.1,7.3,.429,0.0,0.7,.000,3.1,6.6,.474,0.7,1.4,.500,3.8,3.1,6.9,1.7,1.4,1.0,1.0,5.2,6.9
25,Michael Cage,C,33,CLE,4,0,81,3.6,8.0,.444,0.0,0.4,.000,3.6,7.6,.471,0.0,0.9,.000,3.6,4.4,8.0,1.3,0.9,1.8,0.4,4.0,7.1
26,Elden Campbell,PF,26,LAL,10,10,376,6.1,12.6,.485,0.0,0.0,,6.1,12.6,.485,2.8,4.2,.659,2.5,4.5,7.0,1.5,0.4,2.9,1.4,4.2,15.0
27,Tony Campbell,SF,32,CLE,4,0,37,5.8,13.6,.429,1.0,1.9,.500,4.9,11.7,.417,9.7,11.7,.833,1.0,1.0,1.9,1.0,1.0,1.0,2.9,2.9,22.4
28,Antoine Carr,C,33,UTA,5,0,114,4.4,9.8,.452,0.0,0.0,,4.4,9.8,.452,6.3,7.6,.833,0.9,3.8,4.7,2.2,0.9,1.6,1.3,8.2,15.2
29,Sam Cassell,PG,25,HOU,22,0,485,5.5,12.5,.438,1.8,4.5,.400,3.7,8.1,.459,5.3,6.3,.835,0.6,2.5,3.1,6.6,1.6,0.1,2.4,4.9,18.0
30,Cedric Ceballos,SF,25,LAL,10,10,340,5.1,13.3,.381,1.9,5.3,.360,3.2,8.0,.395,3.0,4.0,.737,1.2,5.3,6.5,1.9,1.3,0.7,2.2,2.2,15.0
