,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,Mahmoud Abdul-Rauf,PG,24,DEN,12,339,11.8,.462,.240,.201,1.1,5.0,3.1,18.0,0.8,0.2,7.7,24.8,,0.2,0.1,0.3,.042,,-0.8,-1.9,-2.7,-0.1
1,Danny Ainge,SG,34,PHO,10,230,14.7,.630,.678,.356,3.2,8.3,5.6,12.9,1.3,0.3,6.8,13.7,,0.7,0.0,0.6,.135,,1.9,0.6,2.6,0.3
2,Kenny Anderson,PG,23,NJN,4,181,13.1,.460,.185,.611,1.2,6.0,3.6,34.0,2.7,0.0,11.6,19.4,,0.1,0.2,0.3,.075,,1.5,0.2,1.7,0.2
3,Nick Anderson,SG,26,ORL,3,120,13.7,.547,.588,.353,2.0,8.2,5.0,14.7,2.3,1.2,11.3,16.3,,0.2,0.0,0.3,.111,,2.4,0.9,3.3,0.2
4,Willie Anderson,SG,27,SAS,4,106,11.7,.412,.027,.189,2.9,5.8,4.2,20.0,2.6,1.3,9.1,18.7,,0.0,0.0,0.0,.006,,-0.8,0.7,-0.1,0.1
5,Greg Anthony,PG,26,NYK,25,436,8.6,.440,.477,.188,2.4,5.1,3.7,23.7,2.4,1.4,18.3,18.0,,-0.2,0.6,0.4,.040,,-2.1,1.4,-0.7,0.1
6,B.J. Armstrong,PG,26,CHI,10,360,16.7,.610,.113,.415,0.7,7.3,4.1,12.2,1.3,0.0,6.7,17.9,,1.1,0.1,1.3,.168,,1.9,-0.4,1.5,0.3
7,Vincent Askew,SG,27,SEA,5,95,12.9,.495,.036,.679,2.3,4.9,3.6,17.1,1.1,0.0,5.2,18.7,,0.2,0.1,0.3,.127,,0.1,-0.3,-0.1,0.0
8,Keith Askins,SF,26,MIA,1,6,-17.7,.000,.000,.000,18.0,0.0,9.2,0.0,0.0,0.0,66.7,22.2,,-0.1,0.0,-0.1,-0.622,,-15.9,-8.0,-23.9,0.0
9,Stacey Augmon,SG,25,ATL,11,324,13.4,.563,.000,.427,4.4,5.7,5.1,14.8,1.2,0.5,12.4,17.1,,0.5,0.2,0.8,.112,,0.0,0.5,0.5,0.2
