,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Arron Afflalo,SG,24,DEN,6,6,20.0,3.3,5.3,.625,1.0,2.3,.429,2.3,3.0,.778,.719,1.5,1.8,.818,0.2,1.8,2.0,1.2,0.2,0.3,0.7,3.5,9.2
1,LaMarcus Aldridge,PF,24,POR,6,6,38.2,6.7,15.5,.430,0.2,0.3,.500,6.5,15.2,.429,.435,5.5,7.3,.750,1.7,4.3,6.0,2.2,1.2,1.8,1.8,2.7,19.0
2,Malik Allen,PF,31,DEN,4,0,2.8,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.5,0.3,0.8,0.0,0.3,0.0,0.0,0.5,0.0
3,Ray Allen*,SG,34,BOS,24,24,38.5,5.5,12.7,.431,2.3,6.0,.386,3.1,6.6,.472,.523,2.9,3.3,.863,0.5,2.8,3.3,2.6,0.9,0.1,1.5,3.1,16.1
4,Tony Allen,SG,28,BOS,24,0,16.3,2.0,4.1,.480,0.0,0.2,.000,2.0,3.9,.505,.480,1.2,1.5,.778,0.5,1.2,1.7,0.7,1.0,0.6,1.0,2.4,5.1
5,Lou Amundson,PF,27,PHO,16,0,12.1,1.2,2.3,.528,0.0,0.0,,1.2,2.3,.528,.528,0.6,1.3,.429,1.9,1.6,3.5,0.1,0.4,0.4,0.4,1.9,2.9
6,Chris Andersen,PF,31,DEN,6,0,19.3,1.5,2.8,.529,0.0,0.0,,1.5,2.8,.529,.529,1.5,2.3,.643,1.2,3.3,4.5,0.2,0.2,1.0,0.7,2.3,4.5
7,Ryan Anderson,PF,21,ORL,9,0,9.9,1.0,3.2,.310,0.4,1.6,.286,0.6,1.7,.333,.379,0.1,0.1,1.000,0.9,2.6,3.4,0.3,0.2,0.2,0.6,1.3,2.6
8,Carmelo Anthony,SF,25,DEN,6,6,42.3,10.7,23.0,.464,1.0,3.2,.316,9.7,19.8,.487,.486,8.3,9.5,.877,2.3,6.2,8.5,3.3,2.0,0.5,3.5,4.3,30.7
9,Joel Anthony,C,27,MIA,5,0,15.8,1.0,1.4,.714,0.0,0.0,,1.0,1.4,.714,.714,0.6,0.8,.750,1.2,0.6,1.8,0.2,0.4,1.0,0.2,1.8,2.6
10,Carlos Arroyo,PG,30,MIA,5,5,23.0,2.4,5.2,.462,0.0,0.2,.000,2.4,5.0,.480,.462,0.4,0.4,1.000,0.4,1.4,1.8,2.2,0.6,0.0,0.6,1.8,5.2
11,D.J. Augustin,PG,22,CHA,4,0,18.3,1.3,4.3,.294,0.5,1.5,.333,0.8,2.8,.273,.353,1.3,1.5,.833,0.3,0.8,1.0,1.8,0.3,0.3,1.0,1.0,4.3
12,Jeff Ayres,C,22,POR,3,0,5.7,0.7,1.3,.500,0.0,0.0,,0.7,1.3,.500,.500,1.0,1.3,.750,0.7,0.0,0.7,0.0,0.7,1.0,0.3,0.3,2.3
13,Leandro Barbosa,PG,27,PHO,16,0,15.6,2.7,6.4,.417,0.8,2.2,.343,1.9,4.3,.456,.476,1.1,1.5,.708,0.1,1.2,1.3,1.3,0.3,0.1,0.9,2.1,7.2
