,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Mahmoud Abdul-Rauf,PG,26,DEN,57,53,2029,7.3,16.9,.434,2.1,5.5,.392,5.2,11.5,.454,2.6,2.8,.930,0.5,2.0,2.4,6.9,1.1,0.1,2.0,2.1,19.4
1,Michael Adams,PG,33,CHH,21,3,329,4.0,9.1,.446,1.5,4.5,.341,2.5,4.6,.548,2.8,3.8,.743,0.5,1.9,2.4,7.3,2.3,0.4,2.7,2.7,12.5
2,Rafael Addison,SF,31,CHH,53,0,516,5.4,11.5,.467,0.0,0.6,.000,5.4,10.9,.494,1.2,1.5,.773,1.7,4.5,6.3,2.1,0.6,0.6,1.9,5.2,11.9
3,Cory Alexander,PG,22,SAS,60,0,560,4.1,10.0,.406,1.7,4.2,.394,2.4,5.7,.416,1.0,1.6,.640,0.6,2.1,2.7,7.8,1.7,0.1,4.4,6.0,10.8
4,Jerome Allen,SG,23,MIN,41,0,362,3.6,10.4,.343,1.0,3.3,.303,2.6,7.2,.361,2.6,3.6,.722,0.5,2.0,2.5,4.9,2.1,0.5,3.4,4.2,10.7
5,Derrick Alston,C,23,PHI,73,41,1614,4.4,8.6,.512,0.0,0.1,.333,4.4,8.6,.513,1.2,2.5,.491,2.8,3.9,6.7,1.4,1.2,1.2,1.3,4.3,10.1
6,John Amaechi,PF,25,CLE,28,3,357,2.9,7.1,.414,0.0,0.0,,2.9,7.1,.414,1.9,3.3,.576,1.3,3.9,5.2,0.9,0.6,1.1,3.4,4.9,7.8
7,Ashraf Amaya,PF,24,VAN,54,34,1104,3.9,8.2,.480,0.0,0.0,.000,3.9,8.2,.482,3.2,4.9,.651,3.7,6.2,9.9,1.1,0.7,0.3,1.9,4.9,11.1
8,Greg Anderson,PF,31,SAS,46,7,344,2.5,4.9,.511,0.0,0.1,.000,2.5,4.8,.522,0.6,2.6,.240,3.0,7.4,10.5,1.0,0.9,2.5,2.3,6.9,5.7
9,Kenny Anderson,PG,25,TOT,69,64,2344,5.4,12.8,.418,1.4,3.9,.359,3.9,8.9,.445,4.0,5.2,.769,1.0,2.2,3.1,8.8,1.7,0.2,2.2,2.7,16.1
